station_nm,line_id,geo_lat,geo_lon,st_dist_from_center
Парк Победы,3,55.735679,37.516865,6.466301093148956
Парк Победы,81,55.736478,37.514401,6.5905140305185705
Парк Победы,2,59.866344,30.321802,630.1429031867452
Чистые пруды,1,55.76499,37.638293,2.0145381273581258
Ховрино,2,55.878273,37.480768,16.382089668967396
Октябрьская,5,55.729264,37.611049,2.5715115572858935
Октябрьская,6,55.731232,37.612851,2.342929956626657
Октябрьская,1,55.018789,82.939007,2822.119709154981
Рижская,6,55.792494,37.636114,4.665870562759107
Рижская,D2,55.793986,37.638602,4.8697861228384305
Рижская,6,55.756498,37.631326,1.0985415736362667
Рижская,6,55.731232,37.612851,2.342929956626657
Рижская,6,55.781827,37.633199,3.4773359592902815
Рижская,6,55.74073,37.625624,1.4268754883856296
Рижская,6,55.844597,37.637811,10.379327879896143
Юго-Восточная,15,55.705351,37.817995,13.747637607486073
Чеховская,9,55.765747,37.608493,1.570052325582406
Красные Ворота,1,55.768307,37.6478,2.702678542394306
Минская,81,55.723947,37.497872,8.034757676848194
Пионерская,4,55.736027,37.466728,9.519578214027398
Пионерская,2,60.002487,30.296759,641.6666971825902
Алтуфьево,9,55.899034,37.586473,16.447411925527636
Фонвизинская,10,55.822778,37.588056,8.043042375324505
Волгоградский проспект,7,55.725546,37.685197,5.2870064773994025
Коптево,14,55.839637,37.520037,11.42908596631031
Пролетарская,7,55.731546,37.666917,3.962687112670169
Пролетарская,1,56.266922,43.914143,396.90191810813127
Пролетарская,3,59.865215,30.470264,624.049336476227
Коньково,6,55.631857,37.519156,14.708367666461555
Беговая,7,55.773505,37.545518,4.99481738360225
Беговая,D1,55.77315,37.549678,4.747040354397833
Беговая,3,59.98778,30.202501,644.3070466035592
Новослободская,5,55.779606,37.601252,3.178607313715247
Улица Скобелевская,12,55.548103,37.552721,23.06721967483084
Шаболовская,6,55.718828,37.607892,3.748840555999417
Лихоборы,10,55.855143,37.561589,11.948610163732443
Лихоборы,14,55.847222,37.551389,11.317102207131104
Филатов луг,1,55.601177,37.407995,21.29125667018775
Ленинский проспект,6,55.70678,37.58499,5.411457540575562
Ленинский проспект,1,59.85117,30.268274,631.1679539009322
Бунинская аллея,12,55.537977,37.515899,24.664392002821575
Воронцовская,11,55.658845,37.539446,11.444385725359378
Окская,15,55.718623,37.781272,11.061415467190178
Прокшино,1,55.586456,37.43322,21.731267424093694
Филёвский парк,4,55.739665,37.483902,8.385638587524419
Соколиная гора,14,55.77,37.745278,8.380473994983307
Новаторская,11,55.669823,37.52218,10.89087521044561
Добрынинская,5,55.728994,37.622533,2.6227430220875987
Площадь Гагарина,14,55.706944,37.585833,5.3757599452420255
Андроновка,14,55.741111,37.734444,7.567705918598187
Александровский сад,4,55.752255,37.608775,0.4260570535943096
